,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,opp_pts,pts,school_name,sos,srs,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
0,50.5,5.6,.492,.339,.300,.408,35,8,4,0,4,2334,2658,Alabama,7.67,16.93,16.5,52.8,.538,.771,27,12,17,4
1,55.1,6.4,.510,.237,.258,.402,31,10,2,0,9,2374,2473,Alcorn State,-14.18,-11.28,18.9,53.3,.537,.677,21,16,11,8
2,56.4,4.6,.522,.336,.326,.446,34,10,6,4,5,2642,2793,Arizona,12.49,16.93,16.2,50.4,.565,.706,24,12,13,6
3,53.8,5.8,.474,.329,.282,.406,32,12,8,5,4,2257,2354,Boston College,5.91,8.95,16.4,49.6,.516,.625,20,8,11,5
4,53.3,4.8,.481,.321,.254,.368,32,10,3,2,6,2047,2147,Boston University,-7.81,-4.68,16.7,51.9,.517,.688,22,13,11,9
5,65.5,5.4,.514,.323,.310,.411,31,11,7,2,8,1889,2066,UC-Santa Barbara,-0.05,5.55,18.6,52.6,.560,.645,20,11,11,5
6,58.3,7.6,.502,.322,.245,.362,32,9,6,1,7,2130,2310,University of California,7.45,13.08,16.3,48.8,.533,.719,23,12,18,4
7,52.3,5.8,.497,.223,.289,.392,32,5,1,2,2,2018,2280,Central Connecticut State,-9.29,-1.10,18.5,54.9,.541,.844,27,19,13,11
8,54.7,6.2,.511,.391,.252,.356,30,12,5,3,7,2057,2205,Charlotte,8.68,13.61,16.8,52.2,.545,.600,18,11,11,6
9,49.6,7.6,.517,.279,.287,.405,35,4,2,0,3,2115,2738,Cincinnati,6.58,24.38,14.4,54.0,.554,.886,31,14,18,7
10,50.8,10.8,.521,.194,.272,.391,34,7,3,1,3,2354,2646,Connecticut,7.43,16.02,18.6,53.0,.555,.794,27,13,13,7
11,57.5,7.2,.527,.338,.270,.369,32,9,4,3,5,2197,2421,Creighton,1.38,8.38,17.6,52.8,.563,.719,23,14,12,7
12,62.4,6.4,.506,.397,.220,.323,31,10,5,2,6,2046,2192,Davidson,0.71,0.60,19.2,51.2,.534,.677,21,11,11,7
13,57.2,5.3,.563,.376,.283,.410,35,4,3,0,3,2421,3112,Duke,9.16,28.91,16.0,50.7,.590,.886,31,13,13,7
14,56.2,6.0,.471,.262,.202,.304,31,12,7,3,8,2235,2303,Florida Atlantic,-5.33,-3.95,17.1,50.9,.500,.613,19,13,10,6
15,58.2,7.9,.531,.346,.252,.362,31,9,6,2,4,2064,2495,Florida,8.37,22.27,17.2,52.9,.561,.710,22,10,13,6
16,56.8,5.8,.496,.302,.263,.357,32,10,6,2,6,2271,2444,Georgia,9.24,14.68,16.7,51.5,.537,.688,22,10,12,6
17,57.6,5.6,.531,.314,.324,.443,33,4,1,0,2,2197,2677,Gonzaga,0.74,13.90,16.4,56.0,.573,.879,29,13,13,11
18,50.4,5.8,.537,.317,.278,.415,33,7,1,0,4,2344,2623,Hampton,-8.90,-0.40,17.4,52.0,.565,.788,26,17,10,11
19,66.7,6.3,.516,.349,.270,.394,33,6,3,1,3,2081,2367,Hawaii,1.15,9.81,15.9,49.0,.548,.818,27,15,16,7
