,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,opp_pts,pts,school_name,sos,srs,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
0,66.0,5.7,.582,.532,.265,.373,29,7,2,0,5,1475,1737,Air Force,0.08,9.12,18.2,43.4,.607,.759,22,12,13,8
1,63.9,6.5,.493,.322,.218,.327,32,10,4,1,5,2218,2414,Alabama-Birmingham,5.63,11.76,15.7,46.6,.521,.688,22,12,14,5
2,49.3,5.8,.476,.339,.297,.454,31,15,7,4,9,1913,1904,Alabama State,-10.78,-11.10,22.5,51.9,.514,.516,16,11,7,5
3,48.6,5.9,.516,.342,.289,.408,33,13,8,4,6,2245,2380,Alabama,10.20,14.29,16.4,50.4,.553,.606,20,8,11,4
4,59.4,6.9,.543,.293,.264,.335,30,10,7,2,5,2354,2614,Arizona,6.63,15.30,16.6,52.7,.582,.667,20,11,13,5
5,66.3,5.2,.491,.218,.304,.447,34,10,6,3,5,2148,2312,Boston College,7.17,11.99,17.3,52.2,.530,.706,24,10,13,5
6,58.2,6.3,.541,.310,.319,.440,30,9,4,0,7,1966,2200,Brigham Young,6.31,12.70,17.7,54.4,.579,.700,21,10,13,5
7,65.7,8.6,.524,.380,.211,.294,31,6,3,1,3,1916,2181,Central Florida,-5.87,1.86,19.3,53.3,.552,.806,25,17,12,11
8,59.6,5.0,.514,.378,.287,.442,30,9,4,3,4,2148,2374,Charlotte,4.70,12.24,17.3,53.0,.543,.700,21,12,10,10
9,59.6,9.8,.521,.323,.256,.382,32,7,4,1,5,2056,2455,Cincinnati,6.28,18.75,14.9,52.9,.549,.781,25,12,18,6
10,59.0,12.6,.532,.258,.215,.345,39,6,4,1,4,2493,3073,Connecticut,7.77,22.64,16.0,56.1,.549,.846,33,12,17,6
11,62.7,5.0,.506,.369,.273,.411,33,9,4,2,5,2127,2244,Dayton,3.57,7.11,18.3,55.0,.538,.727,24,12,15,6
12,53.8,4.1,.510,.256,.267,.382,32,10,4,4,5,2171,2257,DePaul,6.38,9.06,16.9,53.1,.544,.688,22,12,11,7
13,52.7,11.1,.532,.334,.303,.412,37,6,3,1,2,2406,2954,Duke,10.86,25.67,16.5,51.6,.572,.838,31,13,14,8
14,53.4,9.3,.508,.282,.255,.370,33,6,1,0,3,2291,2618,East Tennessee State,-3.15,4.19,17.5,50.0,.541,.818,27,15,12,11
15,64.3,3.1,.531,.310,.273,.386,30,13,3,1,9,2035,2102,Eastern Washington,-0.34,0.83,19.6,49.6,.564,.567,17,11,11,6
16,54.2,2.9,.490,.434,.303,.428,32,17,8,4,12,2372,2311,Florida A&M,-7.94,-9.85,19.9,47.5,.533,.469,15,10,8,3
17,59.3,5.5,.555,.385,.269,.358,31,11,7,4,5,2149,2369,Florida,9.19,16.29,18.4,50.6,.589,.645,20,9,11,4
18,56.3,7.7,.525,.329,.265,.383,38,10,7,3,5,2552,2911,Georgia Tech,11.21,20.66,18.1,50.1,.557,.737,28,9,13,8
