,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,year
0,Alabama,29,17,12,.586,13.36,9.40,7,9,13,2,1,8,2002,1887,,,,,,47.4,,,,.418,,,,2003
1,Arizona State,32,20,12,.625,15.01,9.27,11,7,12,3,4,6,2464,2257,,,,,,47.0,,,,.447,,,,2003
2,Arizona,32,28,4,.875,23.42,8.95,17,1,14,1,11,1,2725,2262,,,,,,46.0,,,,.407,,,,2003
3,Auburn,34,22,12,.647,12.68,8.34,8,8,13,4,4,5,2408,2235,,,,,,48.5,,,,.417,,,,2003
4,Austin Peay,31,23,8,.742,-0.84,-1.98,13,3,14,0,6,7,2204,2101,,,,,,49.1,,,,.429,,,,2003
5,Brigham Young,32,23,9,.719,13.63,5.29,11,3,13,1,6,5,2299,2032,,,,,,46.7,,,,.406,,,,2003
6,Butler,33,27,6,.818,9.11,2.23,14,2,13,0,10,5,2229,1986,,,,,,52.1,,,,.444,,,,2003
7,University of California,31,22,9,.710,11.77,7.58,13,5,13,1,7,4,2301,2171,,,,,,49.3,,,,.434,,,,2003
8,Central Michigan,32,25,7,.781,6.85,1.79,14,4,12,1,9,5,2553,2346,,,,,,47.9,,,,.460,,,,2003
9,Cincinnati,29,17,12,.586,12.90,7.45,9,7,13,3,3,7,1954,1796,,,,,,49.8,,,,.401,,,,2003
10,Colorado State,33,19,14,.576,5.38,4.41,5,9,14,4,3,9,2450,2363,,,,,,46.7,,,,.435,,,,2003
11,Colorado,32,20,12,.625,12.82,8.01,9,7,14,1,3,9,2405,2251,,,,,,46.5,,,,.402,,,,2003
12,Connecticut,33,23,10,.697,15.84,7.63,10,6,14,2,5,6,2622,2351,,,,,,46.6,,,,.379,,,,2003
13,Creighton,34,29,5,.853,15.33,1.03,15,3,17,0,7,4,2688,2202,,,,,,48.8,,,,.435,,,,2003
